Enzyme	Concentration
R_AGM3PApp_duplicate_2_enzyme	0.0
R_AGM3PApp_duplicate_3_enzyme	0.0
R_AGM3PH_enzyme	0.0
R_AGM3Pt2pp_enzyme	0.0
R_AGM4PA_enzyme	0.0
R_AGM4PApp_enzyme	0.0
R_AGM4PApp_duplicate_2_enzyme	0.0
R_AGM4PApp_duplicate_3_enzyme	0.0
R_AGM4PCP_enzyme	0.0
R_AGM4PCPpp_enzyme	0
R_AGM4PH_enzyme	0.0
R_AGM4Pt2pp_enzyme	0.0
R_AGMH_enzyme	0.0
R_AGMHE_enzyme	0.0
R_AGMT_enzyme	0.0
R_AGMt2pp_enzyme	0.0
R_AGMtex_enzyme	0.0
R_AGMtex_duplicate_2_enzyme	0.0
R_AGMtex_duplicate_3_enzyme	0.0
R_AGMtex_duplicate_4_enzyme	0.0
R_AGPAT120_enzyme	0.0
R_AGPAT140_enzyme	0.0
R_AGPAT141_enzyme	0.0
R_AGPAT160_enzyme	7.379931772210474e-07
R_AGPAT161_enzyme	8.698313666515791e-07
R_AGPAT180_enzyme	0.0
R_AGPAT181_enzyme	0.0
R_AGPR_enzyme	2.6733419922833094e-06
R_AGt3_enzyme	0.0
R_AHCYSNS_enzyme	4.781109400022146e-07
R_AICART_enzyme	3.077391280292244e-06
R_AIRC2_enzyme	1.0990949936288642e-07
R_AIRC3_enzyme	4.369749919597323e-07
R_AKGDH_enzyme	0.0
R_AKGt2rpp_enzyme	0.0
R_AKGtex_enzyme	0.0
R_AKGtex_duplicate_2_enzyme	0.0
R_AKGtex_duplicate_3_enzyme	0.0
R_AKGtex_duplicate_4_enzyme	0.0
R_ALAALAD_enzyme	0.0
R_ALAALAabcpp_enzyme	0.0
R_ALAALAabcpp_duplicate_2_enzyme	0.0
R_ALAALAr_enzyme	0.0
R_ALAALAr_duplicate_2_enzyme	2.202531593371523e-06
R_ALAALAtex_enzyme	0.0
R_ALAALAtex_duplicate_2_enzyme	0.0
R_ALAALAtex_duplicate_3_enzyme	0.0
R_ALAALAtex_duplicate_4_enzyme	0.0
R_ALAGLUE_enzyme	0.0
R_ALAR_enzyme	1.6014310612298375e-07
R_ALAR_duplicate_2_enzyme	0.0
R_ALATA_D2_enzyme	0.0
R_ALATA_D2_duplicate_2_enzyme	0.0
R_ALATA_L_enzyme	1.050307795394773e-10
R_ALATA_L_duplicate_2_enzyme	0.0
R_ALATA_L2_enzyme	0.0
R_ALATA_L2_duplicate_2_enzyme	0.0
R_ALATRS_enzyme	2.9756168904114183e-06
R_ALAabcpp_enzyme	0.0
R_ALAt2pp_copy1_enzyme	0.0
R_ALAt2pp_copy2_enzyme	0
R_ALAt4pp_enzyme	0.0
R_ALAtex_enzyme	0.0
R_ALAtex_duplicate_2_enzyme	0.0
R_ALAtex_duplicate_3_enzyme	0.0
R_ALAtex_duplicate_4_enzyme	0.0
R_ALCD19_enzyme	0.0
R_ALCD2x_enzyme	0.0
R_ALCD2x_duplicate_2_enzyme	0.0
R_ALCD2x_duplicate_3_enzyme	0.0
R_ALDD19xr_enzyme	0.0
R_ALDD2x_enzyme	0.0
R_ALDD2y_enzyme	0.0
R_ALDD3y_enzyme	0.0
R_ALDD4_enzyme	0
R_ALLK_enzyme	0.0
R_ALLPI_enzyme	0.0
R_ALLTAMH_enzyme	0.0
R_ALLTN_enzyme	0.0
R_ALLTNt2rpp_enzyme	0.0
R_ALLTNtex_enzyme	0.0
R_ALLTNtex_duplicate_2_enzyme	0.0
R_ALLTNtex_duplicate_3_enzyme	0.0
R_ALLTNtex_duplicate_4_enzyme	0.0
R_ALLULPE_enzyme	0.0
R_ALLabcpp_enzyme	0.0
R_ALLtex_enzyme	0.0
R_ALLtex_duplicate_2_enzyme	0.0
R_ALLtex_duplicate_3_enzyme	0.0
R_ALLtex_duplicate_4_enzyme	0.0
R_ALPATE160pp_enzyme	0.0
R_ALPATG160pp_enzyme	0.0
R_ALR2_enzyme	0.0
R_ALR2_duplicate_2_enzyme	0.0
R_ALR2_duplicate_3_enzyme	0.0
R_ALR2_duplicate_4_enzyme	0.0
R_ALR4x_enzyme	0.0
R_ALTRH_enzyme	0.0
R_AM3PA_enzyme	0.0
R_AM4PA_enzyme	0.0
R_AM4PCP_enzyme	0.0
R_AMALT1_enzyme	0.0
R_AMALT2_enzyme	0.0
R_AMALT3_enzyme	0.0
R_AMALT4_enzyme	0.0
R_AMANAPEr_enzyme	0.0
R_AMANK_enzyme	0.0
R_AMAOTr_enzyme	2.3513970159684808e-07
R_AMMQLT8_enzyme	0.0
R_AMPMS2_enzyme	2.414813865375146e-10
R_AMPN_enzyme	0.0
R_AMPTASECG_enzyme	0.0
R_AMPTASECG_duplicate_2_enzyme	0.0
R_AMPTASECG_duplicate_3_enzyme	0.0
R_AMPTASECG_duplicate_4_enzyme	0.0
R_AMPTASEPG_enzyme	0.0
R_AMPTASEPG_duplicate_2_enzyme	0.0
R_AMPTASEPG_duplicate_3_enzyme	0.0
R_AMPTASEPG_duplicate_4_enzyme	0.0
R_AMPtex_enzyme	0.0
R_AMPtex_duplicate_2_enzyme	0.0
R_AMPtex_duplicate_3_enzyme	0.0
R_AMPtex_duplicate_4_enzyme	0.0
R_ANHGMtex_enzyme	0.0
R_ANHGMtex_duplicate_2_enzyme	0.0
R_ANHGMtex_duplicate_3_enzyme	0.0
R_ANHGMtex_duplicate_4_enzyme	0.0
R_ANHMK_enzyme	0.0
R_ANPRT_enzyme	8.674400330435862e-07
R_ANS_enzyme	8.945214880546071e-07
R_AOBUTDs_enzyme	0.0
R_AOXSr2_enzyme	1.2179898212195986e-07
R_AP4AH_enzyme	0.0
R_AP4AS_enzyme	0.0
R_AP5AH_enzyme	0.0
R_APCS_enzyme	0.0
R_APG3PAT120_enzyme	0.0
R_APG3PAT140_enzyme	0.0
R_APG3PAT141_enzyme	0.0
R_APG3PAT160_enzyme	0.0
R_APG3PAT161_enzyme	0.0
R_APG3PAT180_enzyme	0.0
R_APG3PAT181_enzyme	0.0
R_APH120_enzyme	0.0
R_APH140_enzyme	0.0
R_APH141_enzyme	0.0
R_APH160_enzyme	0.0
R_APH161_enzyme	0.0
R_APH180_enzyme	0.0
R_APH181_enzyme	0.0
R_APPLDHr_enzyme	0.0
R_APRAUR_enzyme	4.126490851826994e-08
R_ARAI_enzyme	0.0
R_ARBTNR1_enzyme	0
R_ARBTNR2_enzyme	0
R_ARBTNR3_enzyme	0
R_ARBTNabcpp_enzyme	0.0
R_ARBTNexs_enzyme	0.0
R_ARBTNtex_enzyme	0
R_ARBTNtonex_enzyme	0
R_ARBTNtpp_enzyme	0
R_ARBTptspp_enzyme	0.0
R_ARBTptspp_duplicate_2_enzyme	0.0
R_ARBTtex_enzyme	0.0
R_ARBTtex_duplicate_2_enzyme	0.0
R_ARBTtex_duplicate_3_enzyme	0.0
R_ARBTtex_duplicate_4_enzyme	0.0
R_ARBabcpp_enzyme	0.0
R_ARBt2rpp_enzyme	0.0
R_ARBt3ipp_enzyme	0.0
R_ARBtex_enzyme	0.0
R_ARBtex_duplicate_2_enzyme	0.0
R_ARBtex_duplicate_3_enzyme	0.0
R_ARBtex_duplicate_4_enzyme	0.0
R_ARGAGMt7pp_enzyme	0.0
R_ARGDC_enzyme	0.0
R_ARGDCpp_enzyme	0.0
R_ARGORNt7pp_enzyme	0.0
R_ARGSL_enzyme	4.255340109052438e-06
R_ARGSS_enzyme	3.071948179653756e-06
R_ARGTRS_enzyme	1.5199365469372524e-06
R_ARGabcpp_enzyme	0.0
R_ARGabcpp_duplicate_2_enzyme	0.0
R_ARGt3pp_enzyme	0.0
R_ARGtex_enzyme	0.0
R_ARGtex_duplicate_2_enzyme	0.0
R_ARGtex_duplicate_3_enzyme	0.0
R_ARGtex_duplicate_4_enzyme	0.0
R_ASAD_enzyme	1.1390950721600463e-05
R_ASCBPL_enzyme	0.0
R_ASCBptspp_enzyme	0.0
R_ASCBtex_enzyme	0.0
R_ASCBtex_duplicate_2_enzyme	0.0
R_ASCBtex_duplicate_3_enzyme	0.0
R_ASCBtex_duplicate_4_enzyme	0.0
R_ASNN_enzyme	0.0
R_ASNN_duplicate_2_enzyme	0.0
R_ASNNpp_enzyme	0.0
R_ASNS1_enzyme	0.0
R_ASNS2_enzyme	1.1826140662731538e-06
R_ASNTRS_enzyme	1.123952299540365e-06
R_ASNabcpp_enzyme	0
R_ASNt2rpp_enzyme	0.0
R_ASNtex_enzyme	0.0
R_ASNtex_duplicate_2_enzyme	0.0
R_ASNtex_duplicate_3_enzyme	0.0
R_ASNtex_duplicate_4_enzyme	0.0
R_ASO3t8pp_enzyme	0.0
R_ASO3tex_enzyme	0.0
R_ASO3tex_duplicate_2_enzyme	0.0
R_ASO3tex_duplicate_3_enzyme	0.0
R_ASO3tex_duplicate_4_enzyme	0.0
R_ASP1DC_enzyme	1.4647772553447194e-07
R_ASPCT_enzyme	0.0
R_ASPCT_duplicate_2_enzyme	3.4209373158085616e-06
R_ASPK_enzyme	0.0
R_ASPK_duplicate_2_enzyme	0.0
R_ASPK_duplicate_3_enzyme	5.578413880154067e-06
R_ASPO3_enzyme	2.0007612910379538e-07
R_ASPO4_enzyme	0.0
R_ASPO5_enzyme	0.0
R_ASPO6_enzyme	0.0
R_ASPT_enzyme	0.0
R_ASPTA_enzyme	5.0790162092320835e-06
R_ASPTRS_enzyme	1.6961852824807644e-06
R_ASPabcpp_enzyme	0.0
R_ASPt2_2pp_enzyme	0.0
R_ASPt2_3pp_enzyme	0.0
R_ASPt2_3pp_duplicate_2_enzyme	0.0
R_ASPt2pp_copy1_enzyme	0.0
R_ASPt2pp_copy2_enzyme	0
R_ASPtex_enzyme	0.0
R_ASPtex_duplicate_2_enzyme	0.0
R_ASPtex_duplicate_3_enzyme	0.0
R_ASPtex_duplicate_4_enzyme	0.0
R_ASR_enzyme	0.0
R_AST_enzyme	0.0
R_ATHRDHr_enzyme	0.0
R_ATPHs_enzyme	0.0
R_ATPM_enzyme	0
R_ATPPRT_enzyme	3.79023087760122e-06
R_ATPS4rpp_enzyme	0.0
R_ATPS4rpp_duplicate_2_enzyme	1.2936337202097358e-05
R_BALAt2pp_enzyme	0.0
R_BALAtex_enzyme	0.0
R_BALAtex_duplicate_2_enzyme	0.0
R_BALAtex_duplicate_3_enzyme	0.0
R_BALAtex_duplicate_4_enzyme	0.0
R_BETALDHx_enzyme	0.0
