Enzyme	Concentration
R_ACALDtpp_enzyme	0.0
R_ACANTHAT_enzyme	0.0
R_ACBIPGT_enzyme	0.0
R_ACCOAC_enzyme	3.106211683485243e-07
R_ACCOAL_enzyme	1.7548278856658273e-06
R_ACGAL1PPpp_enzyme	0
R_ACGAL1Ptex_enzyme	0.0
R_ACGAL1Ptex_duplicate_2_enzyme	0.0
R_ACGAL1Ptex_duplicate_3_enzyme	0.0
R_ACGAL1Ptex_duplicate_4_enzyme	0.0
R_ACGALtex_enzyme	0.0
R_ACGALtex_duplicate_2_enzyme	0.0
R_ACGALtex_duplicate_3_enzyme	0.0
R_ACGALtex_duplicate_4_enzyme	0.0
R_ACGAM1PPpp_enzyme	0
R_ACGAM1Ptex_enzyme	0.0
R_ACGAM1Ptex_duplicate_2_enzyme	0.0
R_ACGAM1Ptex_duplicate_3_enzyme	0.0
R_ACGAM1Ptex_duplicate_4_enzyme	0.0
R_ACGAMK_enzyme	0.0
R_ACGAMT_enzyme	0.0
R_ACGAptspp_enzyme	0.0
R_ACGAptspp_duplicate_2_enzyme	0.0
R_ACGAtex_enzyme	0.0
R_ACGAtex_duplicate_2_enzyme	0.0
R_ACGAtex_duplicate_3_enzyme	0.0
R_ACGAtex_duplicate_4_enzyme	0.0
R_ACGK_enzyme	1.1601397945285401e-06
R_ACGS_enzyme	1.1601397945285401e-06
R_ACHBS_enzyme	1.1356223999241437e-06
R_ACHBS_duplicate_2_enzyme	0.0
R_ACKr_enzyme	0.0
R_ACKr_duplicate_2_enzyme	0.0
R_ACKr_duplicate_3_enzyme	0.0007506204016228874
R_ACLS_enzyme	3.340077707031774e-06
R_ACLS_duplicate_2_enzyme	0.0
R_ACM6PH_enzyme	0.0
R_ACMAMUT_enzyme	0.0
R_ACMANAptspp_enzyme	0.0
R_ACMANAtex_enzyme	0.0
R_ACMANAtex_duplicate_2_enzyme	0.0
R_ACMANAtex_duplicate_3_enzyme	0.0
R_ACMANAtex_duplicate_4_enzyme	0.0
R_ACMUMptspp_enzyme	0.0
R_ACMUMtex_enzyme	0.0
R_ACMUMtex_duplicate_2_enzyme	0.0
R_ACMUMtex_duplicate_3_enzyme	0.0
R_ACMUMtex_duplicate_4_enzyme	0.0
R_ACNAMt2pp_enzyme	0.0
